관리번호,주소,교차로명,교차로번호,설치일자,신호등 종류,신호등 재질,신호등 전구,경도,위도
22324,대덕구 읍내동 90-1도,읍내삼거리,130,1991-12-20,보행등,LED,2색등,127.4259872,36.38155981
22323,대덕구 법동 218도,양지초교네거리,600,1996-12-17,보행등,LED,2색등,127.4343415,36.36527074
22322,대덕구 장동 359-2도,장동초네거리,1785,2021-02-20,차량등,LED,4색등,127.4376591,36.41344529
22321,대덕구 장동 349-2도,장동초네거리,1785,2021-02-20,차량등,LED,4색등,127.4377809,36.4135422
22320,서구 둔산동 1553도,한밭초교(단),1370,2021-02-16,보조등,LED,3색등,127.3941809,36.35348184
22319,유성구 원신흥동 589도,원신흥(단),837,2011-06-13,차량등,LED,3색등,127.3493222,36.33803133
22316,서구 갈마동 685도,갈마네거리,1162,1994-11-25,차량등,LED,4색등,127.3680609,36.35347969
22315,서구 갈마동 685도,갈마네거리,1162,1994-11-25,차량등,LED,4색등,127.3680912,36.35350965
22314,서구 갈마동 685도,갈마네거리,1162,1994-11-25,보행등,LED,2색등,127.3679883,36.35340712
22313,서구 갈마동 685도,갈마네거리,1162,1994-11-25,차량등,LED,3색등,127.3679617,36.35358942
22312,서구 갈마동 261-19도,갈마네거리,1162,1994-11-25,차량등,LED,4색등,127.3681283,36.35372128
22311,서구 갈마동 261-19도,갈마네거리,1162,1994-11-25,보행등,LED,2색등,127.36817,36.35375696
22310,서구 갈마동 685도,갈마네거리,1162,1994-11-25,차량등,LED,4색등,127.3681016,36.35369541
22309,유성구 봉명동 637도,계룡호텔삼거리,808,2021-02-04,차량등,LED,3색등,127.3469088,36.35680152
22308,유성구 봉명동 637도,계룡호텔삼거리,808,2021-02-04,차량등,LED,3색등,127.3469043,36.35677372
22307,중구 대흥동 295-11도,시노인복지관(경),1976,2010-07-15,경보등,LED,적색3색등,127.4202792,36.32043205
22306,중구 문창동 347-1천,문창동 하상도로(경),1975,2000-10-10,경보등,LED,황색3색등,127.4383472,36.31746574
22305,동구 효동 305 창,문창동 하상도로(경),1975,2000-10-10,경보등,LED,황색3색등,127.4387165,36.3175355
22304,중구 선화동 262도,선화교좌안(경),1971,2013-01-16,경보등,LED,적색3색등,127.4245421,36.33288717
22303,중구 선화동 262도,선화교좌안(경),1971,2013-01-16,경보등,LED,황색3색등,127.4245312,36.33287767
22302,대덕구 상서동 259-4 도,상서삼거리,133,1999-12-24,보조등,LED,1색등,127.4205902,36.42783714
22301,중구 대사동 644-20구,보문산(경),1956,2011-08-29,경보등,LED,3색등,127.4245318,36.31500428
22300,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,4색등,127.3602854,36.35870472
22299,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,4색등,127.3603,36.35874392
22298,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,3색등,127.3603166,36.35860996
22297,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,3색등,127.3602182,36.358627
22296,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,4색등,127.3607865,36.35880658
22295,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,4색등,127.3607793,36.35877443
22294,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,3색등,127.3602588,36.35896861
22293,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,3색등,127.3603628,36.35895413
22292,서구 월평동 1555도,갑천대교네거리,66,2021-01-26,차량등,LED,3색등,127.3603892,36.35894891
22291,중구 대흥동 320-1도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4231819,36.32244625
22290,중구 대흥동 320-1도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4231548,36.32243626
22289,중구 대흥동 630도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4228435,36.32246109
22288,중구 대흥동 630도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4228366,36.32247467
22287,중구 대흥동 630도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4224784,36.32273693
22286,중구 대흥동 630도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4225017,36.32275929
22285,중구 대흥동 630도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4228529,36.32301151
22284,중구 대흥동 630도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.422882,36.32301711
22283,중구 대흥동 630도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4234206,36.32279614
22282,중구 대흥동 630도,대고오거리,17,2021-01-26,차량등,LED,5색등,127.4234317,36.32277314
22281,동구 중동 317도,대전역네거리,81,2021-01-26,차량등,LED,4색등,127.4327071,36.33112134
22280,동구 중동 317도,대전역네거리,81,2021-01-26,차량등,LED,4색등,127.4326808,36.33111157
22279,동구 중동 317도,대전역네거리,81,2021-01-26,차량등,LED,4색등,127.4327547,36.33130536
22278,동구 중동 317도,대전역네거리,81,2021-01-26,차량등,LED,4색등,127.4324699,36.33130199
22277,동구 중동 317도,대전역네거리,81,2021-01-26,차량등,LED,4색등,127.4325139,36.33131479
22276,유성구 봉명동 608도,온천교네거리,1189,2021-01-26,차량등,LED,4색등,127.3433073,36.35940922
22275,유성구 봉명동 608도,온천교네거리,1189,2021-01-26,차량등,LED,4색등,127.3433155,36.35942526
22274,유성구 봉명동 608도,온천교네거리,1189,2021-01-26,차량등,LED,4색등,127.3436068,36.3591389
22273,유성구 봉명동 608도,온천교네거리,1189,2021-01-26,차량등,LED,4색등,127.3435738,36.35914943
22272,유성구 봉명동 639도,온천교네거리,1189,2021-01-26,차량등,LED,4색등,127.3439404,36.35936307
22271,유성구 봉명동 639도,온천교네거리,1189,2021-01-26,차량등,LED,4색등,127.3439331,36.35933751
22270,유성구 도룡동 8-59임,컨벤션센터네거리,170,2021-01-28,보조등,LED,1색등,127.3936521,36.37425316
22269,서구 둔산동 1515-1도,정부청사역네거리,242,2021-01-26,차량등,LED,4색등,127.3792019,36.35766197
22268,서구 둔산동 1515-1도,정부청사역네거리,242,2021-01-26,차량등,LED,4색등,127.3792021,36.35769197
22267,서구 둔산동 1531도,정부청사역네거리,242,2021-01-26,차량등,LED,4색등,127.3795631,36.35748559
22266,서구 둔산동 1531도,정부청사역네거리,242,2021-01-26,차량등,LED,4색등,127.3795209,36.35748657
22265,서구 둔산동 1515-1도,정부청사역네거리,242,2021-01-26,차량등,LED,4색등,127.3797319,36.35780447
22264,서구 둔산동 1515-1도,정부청사역네거리,242,2021-01-26,차량등,LED,4색등,127.3797301,36.35777947
22263,서구 월평동 1502도,정부청사역네거리,242,2021-01-26,차량등,LED,4색등,127.3793764,36.35800681
22262,서구 월평동 1502도,정부청사역네거리,242,2021-01-26,차량등,LED,4색등,127.3794245,36.35800527
22261,서구 갈마동 693도,갈마삼거리,1164,2021-01-26,차량등,LED,3색등,127.3696753,36.35212091
22260,서구 갈마동 693도,갈마삼거리,1164,2021-01-26,차량등,LED,3색등,127.3696552,36.35213286
22259,서구 갈마동 693도,갈마삼거리,1164,2021-01-26,보조등,LED,1색등,127.3697191,36.35209328
22258,서구 갈마동 693도,갈마삼거리,1164,2021-01-26,보조등,LED,1색등,127.369595,36.35224604
22257,서구 둔산동 1515도,한밭대교네거리,1233,2021-01-26,차량등,LED,4색등,127.4011724,36.35773145
22256,서구 둔산동 2154도,한밭대교네거리,1233,2021-01-26,차량등,LED,3색등,127.4008957,36.35757671
22255,서구 둔산동 2154도,한밭대교네거리,1233,2021-01-26,차량등,LED,3색등,127.4009121,36.35758984
22254,서구 둔산동 2154도,한밭대교네거리,1233,2021-01-26,차량등,LED,3색등,127.4008943,36.35757334
22253,서구 둔산동 2154도,한밭대교네거리,1233,2021-01-26,차량등,LED,3색등,127.4009115,36.35758856
22252,서구 둔산동 2154도,한밭대교네거리,1233,2021-01-26,차량등,LED,3색등,127.4008471,36.35757905
