시설물유형,시설물 위치,지번주소,경도,위도,설치년도,데이터기준일자
RSE,LH휴먼시아,경상북도 포항시 북구 장성동 1490-11 LH휴먼시아 사거리,129.3816124,36.08965283,2014,2020-08-31
RSE,e-편한세상,경상북도 포항시 북구 양덕동 1302 ,129.3970101,36.08616372,2014,2020-08-31
RSE,택전사거리,경상북도 포항시 남구 연일읍 괴정리 383-5 동해주유소 건너편,129.3432179,35.99264086,2014,2020-08-31
RSE,공항삼거리,경상북도 포항시 남구 동해면 도구리 602-6 공항삼거리,129.4335794,35.98976893,2014,2020-08-31
RSE,동빈큰사거리 서편,경상북도 포항시 북구 동빈2가 139,129.3700939,36.04016508,2014,2020-08-31
RSE,남송IC,경상북도 포항시 북구 흥해읍 남송리 672-4,129.367977,36.10207053,2014,2020-08-31
RSE,달전오거리,경상북도 포항시 북구 흥해읍 성곡리 1107 ,129.3429631,36.07871416,2014,2020-08-31
RSE,이동자동차아울렛사거리,경상북도 포항시 남구 대이동 171-2 이동자동차아울렛 앞,129.3352763,36.03149647,2014,2020-08-31
RSE,청하사거리,경상북도 포항시 북구 청하면 필화리 634-4 청하사거리,129.3518651,36.20179033,2014,2020-08-31
RSE,우목교차로,경상북도 포항시 북구 흥해읍 용한리 산 148-1 ,129.4188336,36.10146209,2014,2020-08-31
RSE,9호광장(롯데백화점입구),경상북도 포항시 북구 항구동 94-5,129.3719833,36.05117461,2014,2020-08-31
RSE,용흥현대아파트,경상북도 포항시 북구 용흥동 57-36,129.3597081,36.03921556,2014,2020-08-31
RSE,포항시청앞삼거리,경상북도 포항시 남구 대잠동 1008-3 ,129.3396167,36.01803759,2014,2020-08-31
RSE,시외버스터미널사거리,경상북도 포항시 남구 상도동 580 ,129.3496743,36.01258936,2014,2020-08-31
RSE,유강대교사거리,경상북도 포항시 남구 연일읍 유강리 303-3,129.3101761,35.99922529,2014,2020-08-31
RSE,동국S&C사거리,경상북도 포항시 남구 장흥동 566-7,129.3636723,35.98662388,2014,2020-08-31
