"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"세종특별자치시",,세종특별자치시 조치원읍 신흥리 447,다목적,4,200,1)푸르지오아파트 2)농정원 3)신동아아파트 4)세종경찰서,30,,044-300-2454,36.59252275,127.2935416668,2019-09-20
"세종특별자치시",,세종특별자치시 조치원읍 신흥리 11-27,다목적,3,200,1)신흥빌라 2)충렬탑 3)대동초,30,,044-300-2454,36.597449,127.2933959446,2019-09-20
"세종특별자치시",,세종특별자치시 조치원읍 남리 239,다목적,2,200,1)공영주차장 2)청주방향지하차도,30,,044-300-2454,36.5979997892,127.3019097156,2019-09-20
"세종특별자치시",세종특별자치시 조치원읍 침산3길 32,세종특별자치시 조치원읍 침산리 87-24,다목적,4,200,"1)돈까스클럽 방향, 2) 하사관주택방향, 3) 마을안길 서쪽방향, 4) 마을안길 남쪽방향",30,,044-300-2454,36.6009460759,127.2917157181,2019-09-20
"세종특별자치시",,세종특별자치시 조치원읍 침산리 144-12,다목적,3,200,1)고려대방면 2)신흥사거리방면 3)마을방면,30,,044-300-2454,36.6010829555,127.2948510106,2019-09-20
"세종특별자치시",세종특별자치시 조치원읍 새내12길 32,세종특별자치시 조치원읍 원리 2-5,다목적,2,200,1)우체국방면 2)상리방면,30,,044-300-2454,36.6022202890,127.2997049987,2019-09-20
"세종특별자치시",,세종특별자치시 조치원읍 신흥리 330-1,다목적,2,200,1)공원둘레길방면 2)문예회관방면,30,,044-300-2454,36.5977621510,127.2897514958,2019-09-20
"세종특별자치시",세종특별자치시 조치원읍 조치원중고길 6,,다목적,3,200,1)고등학교입구 2)여중방면 3)고려대방면,30,,044-300-2454,36.6104768252,127.2974254002,2019-09-20
"세종특별자치시",세종특별자치시 조치원읍 으뜸길 252,세종특별자치시 조치원읍 교리 26-1,다목적,4,200,1)우체국 2)현대아파트 3)욱일아파트 4)조치원역,30,,044-300-2454,36.6029013952,127.2968866633,2019-09-20
"세종특별자치시",세종특별자치시 조치원읍 신흥고샅길 13,세종특별자치시 조치원읍 신흥리 390-15,다목적,3,200,1)우방아파트 2)주공아파트 3)대동초,30,,044-300-2454,36.59522376,127.2946087628,2019-09-20
"세종특별자치시",세종특별자치시 금남면 용포로 119-43,세종특별자치시 금남면 용포리 221-2,다목적,2,200,1)금강산책길 2)보람동,30,,044-300-2454,36.46795278,127.2793185997,2019-09-20
"세종특별자치시",,세종특별자치시 부강면 부강리 326-1,다목적,1,200,1)부강철길,30,,044-300-2454,36.5330009811,127.3676432156,2019-09-20
"세종특별자치시",,세종특별자치시 전의면 신흥리 4-6,다목적,2,200,1)금사리방향 2) 읍내리방향,30,,044-300-2454,36.6704664777,127.1950249914,2019-09-20
"세종특별자치시",,세종특별자치시 연동면 송용리 117,다목적,2,200,1)굴다리반대편농로길 2)굴다리,30,,044-300-2454,36.559265,127.3229631806,2019-09-20
"세종특별자치시",,세종특별자치시 장군면 하봉리 산 15-7,다목적,2,200,1)송산저수지 방향 2) 하봉리 방향,30,,044-300-2454,36.4940293711,127.1815466636,2019-09-20
"세종특별자치시",세종특별자치시 부강면 등곡길 13,세종특별자치시 부강면 등곡리 395,다목적,3,200,1)농원마을 2)폐수처리장 3)충광농원,30,,044-300-2454,36.5122318087,127.3817489168,2019-09-20
"세종특별자치시",세종특별자치시 장군면 대교길 118,세종특별자치시 장군면 대교리 145-4,다목적,2,200,1)고운동 2)대교리,30,,044-300-2454,36.5081699350,127.2200582087,2019-09-20
"세종특별자치시",세종특별자치시 부강면 부강2길 21,세종특별자치시 부강면 부강리 449-1,다목적,2,200,1)시장길 2)천주교회,30,,044-300-2454,36.530812,127.3676504791,2019-09-20
"세종특별자치시",세종특별자치시 소정면 뒷고랑길 6,세종특별자치시 소정면 소정리 187-1,다목적,3,200,1)소정면사무소 2)주택촌 3)뒷산,30,,044-300-2454,36.7169961210,127.1563725251,2019-09-20
"세종특별자치시",,세종특별자치시 금남면 성덕리 79,다목적,1,200,1)마을회관,30,,044-300-2454,36.4581966121,127.2686941012,2019-09-20
"세종특별자치시",,세종특별자치시 소정면 대곡리 559-41,다목적,2,200,1)대곡교 2)마을방향,30,,044-300-2454,36.7266968212,127.1591630542,2019-09-20
"세종특별자치시",세종특별자치시 조치원읍 으뜸길 215,세종특별자치시 조치원읍 원리 141-59,다목적,2,200,1)욱일아파트 2)교리사거리,30,,044-300-2454,36.6010897554,127.2963030230,2019-09-20
"세종특별자치시",세종특별자치시 만남로 146(고운동),,다목적,1,200,1)두루초 2)가락20단지 3)온빛초정문4)가락8단지(고운초),30,,044-300-2454,36.5123306666,127.2400974256,2019-09-20
"세종특별자치시",세종특별자치시 세종로 1229(고운동),,다목적,2,200,A: 1)가락3.4단지(성당) 2)회전교차로(8단지계단) 3)가락6단지(고운초) 4)가락3.4단지  B: 가재310동(종촌동),30,,044-300-2454,36.5124404818,127.2410533673,2019-09-20
"세종특별자치시",세종특별자치시 세종로 1215(고운동),,다목적,1,200,"1)가락803동 2)가락6.7단지 산책로 3)가락611동 4)고운초,중 산책로",30,,044-300-2454,36.5111140273,127.2410313926,2019-09-20
"세종특별자치시",세종특별자치시 만남로 136(고운동),,다목적,1,200,1)고운고(성당) 2)가락3.4단지 3)가락8단지 4)가락3단지(고운초),30,,044-300-2454,36.5113682849,127.2400721263,2019-09-20
"세종특별자치시",세종특별자치시 만남로 140(고운동),,다목적,1,200,1)가락6단지(종촌동)2)주택부지(세종해물탕) 3)주택부지(공주) 4)가락6단지(종촌동),30,,044-300-2454,36.5116602121,127.2400953548,2019-09-20
"세종특별자치시",세종특별자치시 만남로 140(고운동),,다목적,2,200,A: 1)온빛초 2)국제고(조치원) 3)온빛초(대전) 4)국제고(조치원)B: 두루중(가락16단지),30,,044-300-2454,36.5116602121,127.2400953548,2019-09-20
"세종특별자치시",세종특별자치시 정안세종로 1482-50(고운동),,다목적,2,200,A: 1)가락611동(고운동) 2)다정동(남쪽) 3)다름고재(공주) 4)611동(고운동)  B:가재11단지(청사),30,,044-300-2454,36.5316229035,127.2363068904,2019-09-20
"세종특별자치시",세종특별자치시 범지기길 41(아름동),,다목적,2,200,A: 1)아름중 2)온빛초 3)가락21단지 4)아름중B: 가락8단지(대전),30,,044-300-2454,36.5159101164,127.2522907235,2019-09-20
"세종특별자치시",,세종특별자치시 고운동 산 167,다목적,1,200,1)온빛초 2)아름주민센터 3)가락8단지 4)온빛초,30,,044-300-2454,36.5118797903,127.2406203992,2019-09-20
"세종특별자치시",,세종특별자치시 고운동 산 85,다목적,1,200,1)주민센터 2)가락22단지 3)가락뜰공원(17단지) 4)주민센터(가락초),30,,044-300-2454,36.5205149610,127.2378790946,2019-09-20
"세종특별자치시",세종특별자치시 만남로 326-14(고운동),,다목적,1,200,1)국제고 2)두루초 3)슬기유치원 4)국제고,30,,044-300-2454,36.5253489160,127.2426744356,2019-09-20
"세종특별자치시",세종특별자치시 밝은뜰로 3(고운동),,다목적,1,200,1)으뜸초 2)가락901동 3)가락초 4)가락1101동후문,30,,044-300-2454,36.5216479555,127.2331503794,2019-09-20
"세종특별자치시",세종특별자치시 밝은뜰로 3(고운동),,다목적,2,200,A: 1)가락10단지(가락초) 2)가락10단지 3)가락10단지(가락초) 4)가락10단지  B:두루고(조치원),30,,044-300-2454,36.5216479555,127.2331503794,2019-09-20
"세종특별자치시",,세종특별자치시 고운동 산 136,다목적,1,200,1)가락1101동 2)901동뒤산책로 3)장군면 4)가락1101동,30,,044-300-2454,36.5102873017,127.2277732003,2019-09-20
"세종특별자치시",,세종특별자치시 고운동 산 173,다목적,1,200,1)고운중 2)505동옆회전교차로 3)온빛초 4)가재4단지(청사),30,,044-300-2454,36.5092783803,127.2392104397,2019-09-20
"세종특별자치시",세종특별자치시 도움3로 126(종촌동),,다목적,2,200,A: 1)온빛초(조치원) 2)가재310동(종촌교) 3)고운중(공주) 4)가재310동(종촌고)   B: 종촌고(대전),30,,044-300-2454,36.5053670809,127.2468984793,2019-09-20
"세종특별자치시","세종특별자치시 마음안1로 139(고운동, 가락마을18단지)",,다목적,1,200,1)산(조치원) 2)가락18단지 3)자동크리넷 4)두루고(가락10단지),30,,044-300-2454,36.5215557585,127.2342130004,2019-09-20
"세종특별자치시","세종특별자치시 마음안1로 139(고운동, 가락마을18단지)",,다목적,1,200,1) 가락18단지2) 자동크리넷3)두루고(가락10단지) 4)가락18단지,30,,044-300-2454,36.5215557585,127.2342130004,2019-09-20
"세종특별자치시",,세종특별자치시 고운동 산 105,다목적,1,200,1) 고운프라자(두루초)2)성당 3)가락초(으뜸초) 4)주택부지(공주),30,,044-300-2454,36.5201214276,127.2338639863,2019-09-20
"세종특별자치시",,세종특별자치시 고운동 산 103,다목적,2,200,A: 1)가락초 2)단독주택부지(서쪽) 3)가락15단지 4)단독주택부지(서쪽) B: 두루초,30,,044-300-2454,36.5197072124,127.2341219854,2019-09-20
"세종특별자치시",세종특별자치시 만남로 223(고운동),,다목적,2,200,A:1)가락17단지 2)두루초(아름동) 3)가락17단지 4)두루초(아름동) B: 가락초(으뜸초),30,,044-300-2454,36.5191606586,127.2386760662,2019-09-20
"세종특별자치시",세종특별자치시 바른3길 14(아름동),,다목적,2,200,A:1)809동(대전) 2)범지기110동 3)809동(대전) 4)범지기110동B: 온빛초(조치원),30,,044-300-2454,36.5203324911,127.2542164788,2019-09-20
"세종특별자치시",,세종특별자치시 고운동 1623,다목적,1,200,A.1)공원시설방향 2)공원입구방향 3)공원좌측방향 4)공원우측방향,30,,044-300-2454,36.5080740979,127.2332718302,2019-09-20
