,movie,comment,rank
0,언포기버블,영화의  단조로운 스토리를  긴장감있,10
1,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
2,롱 리브 더 킹: 목포 영웅,,10
3,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
4,아수라,찢었다...모든게 찢었다.,10
5,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
6,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
7,비바리움,내가 50년간 봤던 영화중 최악이,9
8,어메이징 스파이더맨,샘스파보다 발전한 볼,9
9,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
10,언포기버블,영화의  단조로운 스토리를  긴장감있,10
11,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
12,롱 리브 더 킹: 목포 영웅,,10
13,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
14,아수라,찢었다...모든게 찢었다.,10
